"","kunta","vuosi","prod1","nobs"
"76","213",2013,1.70912702102587,1510
"77","214",2013,1.49086978173108,2939
"78","216",2013,1.10581989666042,371
"79","217",2013,1.20188902346543,1375
"80","218",2013,1.29269832212688,544
"81","224",2013,1.6505992852085,1505
"82","226",2013,1.57918970789205,1130
"83","230",2013,1.37082848429547,884
"84","231",2013,1.14916552714488,294
"85","232",2013,1.53041272541632,3638
"86","233",2013,1.67277366476571,5305
"87","235",2013,2.36024527507157,1300
"88","236",2013,0.690935476723312,1283
"89","239",2013,1.98033549829509,450
"90","240",2013,1.23595035109037,2679
"91","241",2013,1.07418910645842,1299
"92","244",2013,1.16689773627747,2360
"93","245",2013,1.52521189794865,4574
"94","249",2013,1.91652700702137,2135
"95","250",2013,1.93729919488855,584
"96","256",2013,0.694150342584069,403
"97","257",2013,1.87619473009206,5689
"98","260",2013,1.55761207347794,2475
"99","261",2013,1.52479547591427,1702
"100","263",2013,0.842450638530097,2066
"101","265",2013,1.13966254815559,259
"102","271",2013,1.87842579738388,1766
"103","272",2013,1.01041655650598,9463
"104","273",2013,1.30177696278982,1113
"105","275",2013,1.67294006891235,645
"106","276",2013,2.23977808015713,1723
"107","280",2013,1.4360413050479,777
"108","284",2013,2.73065494756832,919
"109","285",2013,1.46573697336008,7370
"110","286",2013,1.57490925244669,13508
"111","287",2013,1.29043728545459,1923
"112","288",2013,1.09896870855072,1914
"113","290",2013,0.942727845518689,1387
"114","291",2013,1.75635991246306,700
"115","295",2013,1.3910374165028,106
"116","297",2013,1.18128284931961,18488
"117","300",2013,1.71908700700356,1161
"118","301",2013,1.80304275553487,5272
"119","304",2013,1.47595097045761,332
"120","305",2013,1.16357933431944,3225
"121","309",2013,1.23945119521369,969
"122","312",2013,1.7772549412374,380
"123","316",2013,1.99273495278625,1077
"124","317",2013,0.583073762178813,756
"125","318",2013,1.47068245612603,60
"126","320",2013,1.0671502330383,1218
"127","322",2013,1.56648781617226,1962
"128","398",2013,1.63069955260326,17952
"129","399",2013,2.38766900864298,1507
"130","400",2013,1.62348076058574,2483
"131","402",2013,1.23304700975348,2102
"132","403",2013,1.41877255035342,872
"133","405",2013,1.37957587398369,11766
"134","407",2013,1.18878081580319,842
"135","408",2013,1.85878999779806,3726
"136","410",2013,1.91494710849523,2767
"137","416",2013,2.65621069090219,508
"138","417",2013,2.89570822306643,300
"139","418",2013,1.60875909030304,3891
"140","420",2013,1.80261893651824,1767
"141","421",2013,0.859840777676612,314
"142","422",2013,0.910324525442657,2070
"143","423",2013,2.01376890644973,4082
"144","425",2013,1.66759175772045,1097
"145","426",2013,1.50092605362888,2076
"146","430",2013,1.17978739838218,5084
"147","433",2013,2.1922073104803,1870
"148","434",2013,2.16024066471824,3622
"149","435",2013,1.48594626538004,219
"150","436",2013,1.37066664959468,374
"151","438",2013,0.409705488965327,70
