"","X.1","X","vuosi","toimiala","kokoluokka","y_min","y_25","y_median","y_75","y_max","y_mean","n"
"265",328,328,2016,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta","pienyritys",0.049896983495831,0.14878569914358,0.294244080691796,0.628362879206376,2.6217204179641,0.582974509757674,525
"266",329,329,2017,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta","pienyritys",0.0645388436105626,0.190238051601055,0.336235740216729,0.604747094109393,2.53378065025014,0.606108808527945,480
"267",330,330,2018,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta","pienyritys",0.0148681134915615,0.165430901427612,0.337702360466559,0.646303365994109,1.93289637129333,0.545652503099761,601
"268",331,331,2019,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta","pienyritys",0.0068260983454121,0.175382362668563,0.308216785989318,0.569546312285567,2.60049565078464,0.534811518579349,627
"269",332,332,2020,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta","pienyritys",0.00606380974204815,0.103460787861134,0.239974562288109,0.660241964673588,2.29109856159237,0.486457987211792,609
"270",333,333,2021,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta","pienyritys",4.81843984865315e-05,0.126067891602489,0.342431881266677,0.64774723249389,2.31810079992399,0.52991717080378,564
"271",343,343,2013,"Tukku- ja vähittäiskauppa; moottoriajoneuvojen ja moottoripyörien korjaus","keskisuuri yritys",0.063096110512629,0.654637829975456,0.978487813823492,1.30399922057386,2.85559375701851,1.10517405379934,7955
"272",344,344,2014,"Tukku- ja vähittäiskauppa; moottoriajoneuvojen ja moottoripyörien korjaus","keskisuuri yritys",0.066906732192683,0.678893291051846,1.01687312350226,1.59868818766307,3.54092883715061,1.22310249819459,7697
"273",345,345,2015,"Tukku- ja vähittäiskauppa; moottoriajoneuvojen ja moottoripyörien korjaus","keskisuuri yritys",0.0605956169764019,0.689560016748121,1.0485242585153,1.57266795455159,3.77787173511025,1.27313585725513,7620
"274",346,346,2016,"Tukku- ja vähittäiskauppa; moottoriajoneuvojen ja moottoripyörien korjaus","keskisuuri yritys",0.269701139985556,0.678825802055873,0.989843360501394,1.46388831777529,3.00700858873092,1.26224426924944,7768
"275",347,347,2017,"Tukku- ja vähittäiskauppa; moottoriajoneuvojen ja moottoripyörien korjaus","keskisuuri yritys",0.240034520406486,0.599311071291538,1.01205308708016,1.55663986259661,3.01737626737061,1.21794429026125,8362
"276",348,348,2018,"Tukku- ja vähittäiskauppa; moottoriajoneuvojen ja moottoripyörien korjaus","keskisuuri yritys",0.284379344125069,0.682641000423668,1.03342833587138,1.66211193127129,3.11912847638007,1.2491169789252,7937
"277",349,349,2019,"Tukku- ja vähittäiskauppa; moottoriajoneuvojen ja moottoripyörien korjaus","keskisuuri yritys",0.348977658851345,0.679557876476,1.06437471130129,1.63855862457395,3.26852247071355,1.27517879799679,7295
"278",350,350,2020,"Tukku- ja vähittäiskauppa; moottoriajoneuvojen ja moottoripyörien korjaus","keskisuuri yritys",0.273297801846144,0.638099683163844,1.03542802468494,1.43333633521761,2.90165839449087,1.13870238541592,7474
"279",351,351,2021,"Tukku- ja vähittäiskauppa; moottoriajoneuvojen ja moottoripyörien korjaus","keskisuuri yritys",0.0896812760518367,0.640884686794768,1.00823652648323,1.60269872343203,2.53257400488338,1.1624953311619,7672
