"","maakunta","vuosi","toimiala","tuottavuus","nobs"
"89","Pohjois-Savo",2013,"Kiinteistöalan toiminta",1.89953457839074,2530
"90","Satakunta",2013,"Kiinteistöalan toiminta",1.88244597367662,1374
"91","Uusimaa",2013,"Kiinteistöalan toiminta",2.02838762190208,2252
"92","Varsinais-Suomi",2013,"Kiinteistöalan toiminta",2.03349578591348,4597
"96","Etelä-Karjala",2013,"Koulutus",1.89404032665163,250
"97","Etelä-Pohjanmaa",2013,"Koulutus",1.34290206476288,187
"98","Etelä-Savo",2013,"Koulutus",3.69038304944904,244
"99","Kainuu",2013,"Koulutus",1.16934631037362,67
"100","Kanta-Häme",2013,"Koulutus",2.26681685406827,290
"101","Keski-Pohjanmaa",2013,"Koulutus",1.33215349575803,71
"102","Keski-Suomi",2013,"Koulutus",2.41915760939985,356
"103","Kymenlaakso",2013,"Koulutus",2.43491822600175,273
"104","Lappi",2013,"Koulutus",2.00352225697916,100
"105","Päijät-Häme",2013,"Koulutus",2.36729225828593,105
"106","Pirkanmaa",2013,"Koulutus",3.22933860415757,765
"107","Pohjanmaa",2013,"Koulutus",1.68456108296676,105
"108","Pohjois-Karjala",2013,"Koulutus",2.49014579960568,220
"109","Pohjois-Pohjanmaa",2013,"Koulutus",2.20787525920233,557
"110","Pohjois-Savo",2013,"Koulutus",2.44345864744626,542
"111","Satakunta",2013,"Koulutus",2.16185296330541,243
"112","Uusimaa",2013,"Koulutus",2.91685658519049,573
"113","Varsinais-Suomi",2013,"Koulutus",3.52735937442959,917
"114","Ahvenanmaa",2013,"Kuljetus ja varastointi",1.06309122441608,77
"115","Etelä-Karjala",2013,"Kuljetus ja varastointi",1.4446830314707,2316
"116","Etelä-Pohjanmaa",2013,"Kuljetus ja varastointi",1.51610254609927,1676
"117","Etelä-Savo",2013,"Kuljetus ja varastointi",1.62409505615114,1880
"118","Kainuu",2013,"Kuljetus ja varastointi",1.46883607162772,413
"119","Kanta-Häme",2013,"Kuljetus ja varastointi",1.27817720826911,1631
"120","Keski-Pohjanmaa",2013,"Kuljetus ja varastointi",1.30811632363301,937
"121","Keski-Suomi",2013,"Kuljetus ja varastointi",1.67738579984962,2000
"122","Kymenlaakso",2013,"Kuljetus ja varastointi",1.49227010562574,2635
"123","Lappi",2013,"Kuljetus ja varastointi",1.59338117794126,997
"124","Päijät-Häme",2013,"Kuljetus ja varastointi",1.60562396719139,828
"125","Pirkanmaa",2013,"Kuljetus ja varastointi",1.73976767454857,4573
"126","Pohjanmaa",2013,"Kuljetus ja varastointi",1.37217167894369,1553
"127","Pohjois-Karjala",2013,"Kuljetus ja varastointi",1.55086485966794,1681
"128","Pohjois-Pohjanmaa",2013,"Kuljetus ja varastointi",1.49653210915185,4039
"129","Pohjois-Savo",2013,"Kuljetus ja varastointi",1.57609447517583,3200
"130","Satakunta",2013,"Kuljetus ja varastointi",1.64752915364854,2209
"131","Uusimaa",2013,"Kuljetus ja varastointi",1.72422455003157,4065
"132","Varsinais-Suomi",2013,"Kuljetus ja varastointi",1.77308248021394,6425
"133","Ahvenanmaa",2013,"Maatalous, metsätalous ja kalatalous",2.34064018696635,146
"134","Etelä-Karjala",2013,"Maatalous, metsätalous ja kalatalous",2.73496299473513,4591
"135","Etelä-Pohjanmaa",2013,"Maatalous, metsätalous ja kalatalous",2.00660043761418,7700
"136","Etelä-Savo",2013,"Maatalous, metsätalous ja kalatalous",2.55617445062939,7072
"137","Kainuu",2013,"Maatalous, metsätalous ja kalatalous",1.93718029034966,873
"138","Kanta-Häme",2013,"Maatalous, metsätalous ja kalatalous",2.03555584479183,4001
