"","date","TOL","maakunta","yrityksiä","työntekijöitä"
"15826",NA,NA,"MK05 Kanta-Häme","1",1
"15827",NA,NA,"MK06 Pirkanmaa","3",3
"15828",NA,NA,"MK07 Päijät-Häme","2",2
"15829",NA,NA,"MK08 Kymenlaakso","4",4
"15830",NA,NA,"MK09 Etelä-Karjala","1",1
"15831",NA,NA,"MK10 Etelä-Savo","0",0
"15832",NA,NA,"MK11 Pohjois-Savo","0",0
"15833",NA,NA,"MK12 Pohjois-Karjala","0",0
"15834",NA,NA,"MK13 Keski-Suomi","2",2
"15835",NA,NA,"MK14 Etelä-Pohjanmaa","2",2
"15836",NA,NA,"MK15 Pohjanmaa","1",1
"15837",NA,NA,"MK16 Keski-Pohjanmaa","1",1
"15838",NA,NA,"MK17 Pohjois-Pohjanmaa","1",1
"15839",NA,NA,"MK18 Kainuu","1",1
"15840",NA,NA,"MK19 Lappi","1",1
"15841",NA,NA,"MA2 AHVENANMAA","0",0
"15842",NA,NA,"MK21 Ahvenanmaa","0",0
"15843","2009M09","Yhteensä","KOKO MAA","255",794
"15844",NA,NA,"MA1 MANNER-SUOMI","255",794
"15845",NA,NA,"MK01 Uusimaa","91",313
"15846",NA,NA,"MK02 Varsinais-Suomi","22",50
"15847",NA,NA,"MK04 Satakunta","14",24
"15848",NA,NA,"MK05 Kanta-Häme","4",10
"15849",NA,NA,"MK06 Pirkanmaa","23",60
"15850",NA,NA,"MK07 Päijät-Häme","8",34
"15851",NA,NA,"MK08 Kymenlaakso","8",20
"15852",NA,NA,"MK09 Etelä-Karjala","8",32
"15853",NA,NA,"MK10 Etelä-Savo","7",46
"15854",NA,NA,"MK11 Pohjois-Savo","4",24
"15855",NA,NA,"MK12 Pohjois-Karjala","3",4
"15856",NA,NA,"MK13 Keski-Suomi","9",28
"15857",NA,NA,"MK14 Etelä-Pohjanmaa","12",45
"15858",NA,NA,"MK15 Pohjanmaa","13",30
"15859",NA,NA,"MK16 Keski-Pohjanmaa","3",3
"15860",NA,NA,"MK17 Pohjois-Pohjanmaa","12",46
"15861",NA,NA,"MK18 Kainuu","2",5
"15862",NA,NA,"MK19 Lappi","12",20
"15863",NA,NA,"MA2 AHVENANMAA","0",0
"15864",NA,NA,"MK21 Ahvenanmaa","0",0
"15865",NA,"Maa-, metsä ja kalatalous","KOKO MAA","8",26
"15866",NA,NA,"MA1 MANNER-SUOMI","8",26
"15867",NA,NA,"MK01 Uusimaa","0",0
"15868",NA,NA,"MK02 Varsinais-Suomi","1",1
"15869",NA,NA,"MK04 Satakunta","1",1
"15870",NA,NA,"MK05 Kanta-Häme","0",0
"15871",NA,NA,"MK06 Pirkanmaa","0",0
"15872",NA,NA,"MK07 Päijät-Häme","0",0
"15873",NA,NA,"MK08 Kymenlaakso","0",0
"15874",NA,NA,"MK09 Etelä-Karjala","1",1
"15875",NA,NA,"MK10 Etelä-Savo","0",0
"15876",NA,NA,"MK11 Pohjois-Savo","0",0
"15877",NA,NA,"MK12 Pohjois-Karjala","1",1
"15878",NA,NA,"MK13 Keski-Suomi","0",0
"15879",NA,NA,"MK14 Etelä-Pohjanmaa","2",12
"15880",NA,NA,"MK15 Pohjanmaa","1",9
"15881",NA,NA,"MK16 Keski-Pohjanmaa","0",0
"15882",NA,NA,"MK17 Pohjois-Pohjanmaa","0",0
"15883",NA,NA,"MK18 Kainuu","0",0
"15884",NA,NA,"MK19 Lappi","1",1
"15885",NA,NA,"MA2 AHVENANMAA","0",0
"15886",NA,NA,"MK21 Ahvenanmaa","0",0
"15887",NA,"Teollisuus, kaivostoiminta sekä energia- ja vesihuolto","KOKO MAA","21",122
"15888",NA,NA,"MA1 MANNER-SUOMI","21",122
"15889",NA,NA,"MK01 Uusimaa","8",38
"15890",NA,NA,"MK02 Varsinais-Suomi","2",10
"15891",NA,NA,"MK04 Satakunta","0",0
"15892",NA,NA,"MK05 Kanta-Häme","0",0
"15893",NA,NA,"MK06 Pirkanmaa","3",7
"15894",NA,NA,"MK07 Päijät-Häme","2",22
"15895",NA,NA,"MK08 Kymenlaakso","1",9
"15896",NA,NA,"MK09 Etelä-Karjala","0",0
"15897",NA,NA,"MK10 Etelä-Savo","0",0
"15898",NA,NA,"MK11 Pohjois-Savo","0",0
"15899",NA,NA,"MK12 Pohjois-Karjala","0",0
"15900",NA,NA,"MK13 Keski-Suomi","2",15
"15901",NA,NA,"MK14 Etelä-Pohjanmaa","2",12
"15902",NA,NA,"MK15 Pohjanmaa","1",9
"15903",NA,NA,"MK16 Keski-Pohjanmaa","0",0
"15904",NA,NA,"MK17 Pohjois-Pohjanmaa","0",0
"15905",NA,NA,"MK18 Kainuu","0",0
"15906",NA,NA,"MK19 Lappi","0",0
"15907",NA,NA,"MA2 AHVENANMAA","0",0
"15908",NA,NA,"MK21 Ahvenanmaa","0",0
"15909",NA,"Rakennustoiminta","KOKO MAA","47",162
"15910",NA,NA,"MA1 MANNER-SUOMI","47",162
"15911",NA,NA,"MK01 Uusimaa","17",75
"15912",NA,NA,"MK02 Varsinais-Suomi","6",7
"15913",NA,NA,"MK04 Satakunta","2",2
"15914",NA,NA,"MK05 Kanta-Häme","2",6
"15915",NA,NA,"MK06 Pirkanmaa","4",31
"15916",NA,NA,"MK07 Päijät-Häme","3",7
"15917",NA,NA,"MK08 Kymenlaakso","1",1
"15918",NA,NA,"MK09 Etelä-Karjala","1",4
"15919",NA,NA,"MK10 Etelä-Savo","0",0
"15920",NA,NA,"MK11 Pohjois-Savo","1",15
"15921",NA,NA,"MK12 Pohjois-Karjala","0",0
"15922",NA,NA,"MK13 Keski-Suomi","2",3
"15923",NA,NA,"MK14 Etelä-Pohjanmaa","1",1
"15924",NA,NA,"MK15 Pohjanmaa","3",3
"15925",NA,NA,"MK16 Keski-Pohjanmaa","0",0
"15926",NA,NA,"MK17 Pohjois-Pohjanmaa","3",5
"15927",NA,NA,"MK18 Kainuu","0",0
"15928",NA,NA,"MK19 Lappi","1",2
"15929",NA,NA,"MA2 AHVENANMAA","0",0
"15930",NA,NA,"MK21 Ahvenanmaa","0",0
"15931",NA,"Kauppa","KOKO MAA","47",115
"15932",NA,NA,"MA1 MANNER-SUOMI","47",115
"15933",NA,NA,"MK01 Uusimaa","15",54
"15934",NA,NA,"MK02 Varsinais-Suomi","4",6
"15935",NA,NA,"MK04 Satakunta","4",6
"15936",NA,NA,"MK05 Kanta-Häme","0",0
"15937",NA,NA,"MK06 Pirkanmaa","3",3
"15938",NA,NA,"MK07 Päijät-Häme","3",5
"15939",NA,NA,"MK08 Kymenlaakso","0",0
"15940",NA,NA,"MK09 Etelä-Karjala","3",3
"15941",NA,NA,"MK10 Etelä-Savo","2",5
"15942",NA,NA,"MK11 Pohjois-Savo","1",1
"15943",NA,NA,"MK12 Pohjois-Karjala","0",0
"15944",NA,NA,"MK13 Keski-Suomi","1",1
"15945",NA,NA,"MK14 Etelä-Pohjanmaa","4",6
"15946",NA,NA,"MK15 Pohjanmaa","2",3
"15947",NA,NA,"MK16 Keski-Pohjanmaa","1",1
"15948",NA,NA,"MK17 Pohjois-Pohjanmaa","1",13
"15949",NA,NA,"MK18 Kainuu","1",4
"15950",NA,NA,"MK19 Lappi","2",4
"15951",NA,NA,"MA2 AHVENANMAA","0",0
"15952",NA,NA,"MK21 Ahvenanmaa","0",0
"15953",NA,"Kuljetus ja varastointi","KOKO MAA","25",112
"15954",NA,NA,"MA1 MANNER-SUOMI","25",112
"15955",NA,NA,"MK01 Uusimaa","11",59
"15956",NA,NA,"MK02 Varsinais-Suomi","1",2
"15957",NA,NA,"MK04 Satakunta","3",8
"15958",NA,NA,"MK05 Kanta-Häme","0",0
"15959",NA,NA,"MK06 Pirkanmaa","0",0
"15960",NA,NA,"MK07 Päijät-Häme","0",0
"15961",NA,NA,"MK08 Kymenlaakso","3",7
"15962",NA,NA,"MK09 Etelä-Karjala","1",7
"15963",NA,NA,"MK10 Etelä-Savo","0",0
"15964",NA,NA,"MK11 Pohjois-Savo","0",0
"15965",NA,NA,"MK12 Pohjois-Karjala","0",0
"15966",NA,NA,"MK13 Keski-Suomi","1",2
"15967",NA,NA,"MK14 Etelä-Pohjanmaa","1",11
"15968",NA,NA,"MK15 Pohjanmaa","1",1
"15969",NA,NA,"MK16 Keski-Pohjanmaa","0",0
"15970",NA,NA,"MK17 Pohjois-Pohjanmaa","2",11
"15971",NA,NA,"MK18 Kainuu","0",0
"15972",NA,NA,"MK19 Lappi","1",4
"15973",NA,NA,"MA2 AHVENANMAA","0",0
"15974",NA,NA,"MK21 Ahvenanmaa","0",0
"15975",NA,"Majoitus- ja ravitsemistoiminta","KOKO MAA","12",46
"15976",NA,NA,"MA1 MANNER-SUOMI","12",46
"15977",NA,NA,"MK01 Uusimaa","2",4
"15978",NA,NA,"MK02 Varsinais-Suomi","0",0
"15979",NA,NA,"MK04 Satakunta","2",4
"15980",NA,NA,"MK05 Kanta-Häme","0",0
"15981",NA,NA,"MK06 Pirkanmaa","0",0
"15982",NA,NA,"MK07 Päijät-Häme","0",0
"15983",NA,NA,"MK08 Kymenlaakso","0",0
"15984",NA,NA,"MK09 Etelä-Karjala","1",8
"15985",NA,NA,"MK10 Etelä-Savo","1",7
"15986",NA,NA,"MK11 Pohjois-Savo","0",0
"15987",NA,NA,"MK12 Pohjois-Karjala","1",2
"15988",NA,NA,"MK13 Keski-Suomi","1",5
"15989",NA,NA,"MK14 Etelä-Pohjanmaa","0",0
"15990",NA,NA,"MK15 Pohjanmaa","0",0
"15991",NA,NA,"MK16 Keski-Pohjanmaa","0",0
"15992",NA,NA,"MK17 Pohjois-Pohjanmaa","3",14
"15993",NA,NA,"MK18 Kainuu","0",0
"15994",NA,NA,"MK19 Lappi","1",2
"15995",NA,NA,"MA2 AHVENANMAA","0",0
"15996",NA,NA,"MK21 Ahvenanmaa","0",0
"15997",NA,"Muut palvelut","KOKO MAA","57",173
"15998",NA,NA,"MA1 MANNER-SUOMI","57",173
"15999",NA,NA,"MK01 Uusimaa","23",68
"16000",NA,NA,"MK02 Varsinais-Suomi","8",24
"16001",NA,NA,"MK04 Satakunta","1",2
"16002",NA,NA,"MK05 Kanta-Häme","1",3
"16003",NA,NA,"MK06 Pirkanmaa","5",11
"16004",NA,NA,"MK07 Päijät-Häme","0",0
"16005",NA,NA,"MK08 Kymenlaakso","1",1
"16006",NA,NA,"MK09 Etelä-Karjala","1",9
"16007",NA,NA,"MK10 Etelä-Savo","4",34
"16008",NA,NA,"MK11 Pohjois-Savo","2",8
"16009",NA,NA,"MK12 Pohjois-Karjala","1",1
"16010",NA,NA,"MK13 Keski-Suomi","1",1
"16011",NA,NA,"MK14 Etelä-Pohjanmaa","1",2
"16012",NA,NA,"MK15 Pohjanmaa","3",3
"16013",NA,NA,"MK16 Keski-Pohjanmaa","1",1
"16014",NA,NA,"MK17 Pohjois-Pohjanmaa","2",2
"16015",NA,NA,"MK18 Kainuu","0",0
"16016",NA,NA,"MK19 Lappi","2",3
"16017",NA,NA,"MA2 AHVENANMAA","0",0
"16018",NA,NA,"MK21 Ahvenanmaa","0",0
"16019",NA,"Tuntematon","KOKO MAA","38",38
"16020",NA,NA,"MA1 MANNER-SUOMI","38",38
"16021",NA,NA,"MK01 Uusimaa","15",15
"16022",NA,NA,"MK02 Varsinais-Suomi","0",0
"16023",NA,NA,"MK04 Satakunta","1",1
"16024",NA,NA,"MK05 Kanta-Häme","1",1
"16025",NA,NA,"MK06 Pirkanmaa","8",8
"16026",NA,NA,"MK07 Päijät-Häme","0",0
"16027",NA,NA,"MK08 Kymenlaakso","2",2
"16028",NA,NA,"MK09 Etelä-Karjala","0",0
"16029",NA,NA,"MK10 Etelä-Savo","0",0
"16030",NA,NA,"MK11 Pohjois-Savo","0",0
"16031",NA,NA,"MK12 Pohjois-Karjala","0",0
"16032",NA,NA,"MK13 Keski-Suomi","1",1
"16033",NA,NA,"MK14 Etelä-Pohjanmaa","1",1
"16034",NA,NA,"MK15 Pohjanmaa","2",2
"16035",NA,NA,"MK16 Keski-Pohjanmaa","1",1
"16036",NA,NA,"MK17 Pohjois-Pohjanmaa","1",1
"16037",NA,NA,"MK18 Kainuu","1",1
"16038",NA,NA,"MK19 Lappi","4",4
"16039",NA,NA,"MA2 AHVENANMAA","0",0
"16040",NA,NA,"MK21 Ahvenanmaa","0",0
"16041","2009M10","Yhteensä","KOKO MAA","301",1293
"16042",NA,NA,"MA1 MANNER-SUOMI","301",1293
"16043",NA,NA,"MK01 Uusimaa","106",569
"16044",NA,NA,"MK02 Varsinais-Suomi","25",79
"16045",NA,NA,"MK04 Satakunta","17",37
"16046",NA,NA,"MK05 Kanta-Häme","10",68
"16047",NA,NA,"MK06 Pirkanmaa","21",92
"16048",NA,NA,"MK07 Päijät-Häme","20",105
"16049",NA,NA,"MK08 Kymenlaakso","13",24
"16050",NA,NA,"MK09 Etelä-Karjala","8",12
"16051",NA,NA,"MK10 Etelä-Savo","5",12
"16052",NA,NA,"MK11 Pohjois-Savo","8",63
"16053",NA,NA,"MK12 Pohjois-Karjala","3",27
"16054",NA,NA,"MK13 Keski-Suomi","16",44
"16055",NA,NA,"MK14 Etelä-Pohjanmaa","13",39
"16056",NA,NA,"MK15 Pohjanmaa","13",32
"16057",NA,NA,"MK16 Keski-Pohjanmaa","6",16
"16058",NA,NA,"MK17 Pohjois-Pohjanmaa","11",40
"16059",NA,NA,"MK18 Kainuu","0",0
"16060",NA,NA,"MK19 Lappi","6",34
"16061",NA,NA,"MA2 AHVENANMAA","0",0
"16062",NA,NA,"MK21 Ahvenanmaa","0",0
"16063",NA,"Maa-, metsä ja kalatalous","KOKO MAA","7",17
"16064",NA,NA,"MA1 MANNER-SUOMI","7",17
"16065",NA,NA,"MK01 Uusimaa","0",0
"16066",NA,NA,"MK02 Varsinais-Suomi","0",0
"16067",NA,NA,"MK04 Satakunta","0",0
"16068",NA,NA,"MK05 Kanta-Häme","0",0
"16069",NA,NA,"MK06 Pirkanmaa","1",7
"16070",NA,NA,"MK07 Päijät-Häme","0",0
"16071",NA,NA,"MK08 Kymenlaakso","0",0
"16072",NA,NA,"MK09 Etelä-Karjala","0",0
"16073",NA,NA,"MK10 Etelä-Savo","1",4
"16074",NA,NA,"MK11 Pohjois-Savo","1",1
"16075",NA,NA,"MK12 Pohjois-Karjala","0",0
"16076",NA,NA,"MK13 Keski-Suomi","0",0
"16077",NA,NA,"MK14 Etelä-Pohjanmaa","1",2
"16078",NA,NA,"MK15 Pohjanmaa","1",1
"16079",NA,NA,"MK16 Keski-Pohjanmaa","0",0
"16080",NA,NA,"MK17 Pohjois-Pohjanmaa","1",1
"16081",NA,NA,"MK18 Kainuu","0",0
"16082",NA,NA,"MK19 Lappi","1",1
"16083",NA,NA,"MA2 AHVENANMAA","0",0
"16084",NA,NA,"MK21 Ahvenanmaa","0",0
"16085",NA,"Teollisuus, kaivostoiminta sekä energia- ja vesihuolto","KOKO MAA","32",222
"16086",NA,NA,"MA1 MANNER-SUOMI","32",222
"16087",NA,NA,"MK01 Uusimaa","8",67
"16088",NA,NA,"MK02 Varsinais-Suomi","3",12
"16089",NA,NA,"MK04 Satakunta","2",7
"16090",NA,NA,"MK05 Kanta-Häme","1",29
"16091",NA,NA,"MK06 Pirkanmaa","5",25
"16092",NA,NA,"MK07 Päijät-Häme","5",55
"16093",NA,NA,"MK08 Kymenlaakso","1",1
"16094",NA,NA,"MK09 Etelä-Karjala","0",0
"16095",NA,NA,"MK10 Etelä-Savo","1",2
"16096",NA,NA,"MK11 Pohjois-Savo","0",0
"16097",NA,NA,"MK12 Pohjois-Karjala","0",0
"16098",NA,NA,"MK13 Keski-Suomi","2",9
"16099",NA,NA,"MK14 Etelä-Pohjanmaa","2",13
"16100",NA,NA,"MK15 Pohjanmaa","2",2
"16101",NA,NA,"MK16 Keski-Pohjanmaa","0",0
"16102",NA,NA,"MK17 Pohjois-Pohjanmaa","0",0
"16103",NA,NA,"MK18 Kainuu","0",0
"16104",NA,NA,"MK19 Lappi","0",0
"16105",NA,NA,"MA2 AHVENANMAA","0",0
"16106",NA,NA,"MK21 Ahvenanmaa","0",0
"16107",NA,"Rakennustoiminta","KOKO MAA","70",272
"16108",NA,NA,"MA1 MANNER-SUOMI","70",272
"16109",NA,NA,"MK01 Uusimaa","19",108
"16110",NA,NA,"MK02 Varsinais-Suomi","7",23
"16111",NA,NA,"MK04 Satakunta","4",4
"16112",NA,NA,"MK05 Kanta-Häme","3",21
"16113",NA,NA,"MK06 Pirkanmaa","3",5
"16114",NA,NA,"MK07 Päijät-Häme","8",14
"16115",NA,NA,"MK08 Kymenlaakso","1",1
"16116",NA,NA,"MK09 Etelä-Karjala","2",2
"16117",NA,NA,"MK10 Etelä-Savo","0",0
"16118",NA,NA,"MK11 Pohjois-Savo","3",25
"16119",NA,NA,"MK12 Pohjois-Karjala","1",21
"16120",NA,NA,"MK13 Keski-Suomi","6",15
"16121",NA,NA,"MK14 Etelä-Pohjanmaa","3",10
"16122",NA,NA,"MK15 Pohjanmaa","4",6
"16123",NA,NA,"MK16 Keski-Pohjanmaa","3",10
"16124",NA,NA,"MK17 Pohjois-Pohjanmaa","3",7
"16125",NA,NA,"MK18 Kainuu","0",0
"16126",NA,NA,"MK19 Lappi","0",0
"16127",NA,NA,"MA2 AHVENANMAA","0",0
"16128",NA,NA,"MK21 Ahvenanmaa","0",0
"16129",NA,"Kauppa","KOKO MAA","44",168
"16130",NA,NA,"MA1 MANNER-SUOMI","44",168
"16131",NA,NA,"MK01 Uusimaa","15",99
"16132",NA,NA,"MK02 Varsinais-Suomi","5",17
"16133",NA,NA,"MK04 Satakunta","2",3
"16134",NA,NA,"MK05 Kanta-Häme","3",7
"16135",NA,NA,"MK06 Pirkanmaa","2",9
"16136",NA,NA,"MK07 Päijät-Häme","2",7
"16137",NA,NA,"MK08 Kymenlaakso","1",1
"16138",NA,NA,"MK09 Etelä-Karjala","2",2
"16139",NA,NA,"MK10 Etelä-Savo","0",0
"16140",NA,NA,"MK11 Pohjois-Savo","0",0
"16141",NA,NA,"MK12 Pohjois-Karjala","0",0
"16142",NA,NA,"MK13 Keski-Suomi","5",6
"16143",NA,NA,"MK14 Etelä-Pohjanmaa","2",4
"16144",NA,NA,"MK15 Pohjanmaa","0",0
"16145",NA,NA,"MK16 Keski-Pohjanmaa","3",6
"16146",NA,NA,"MK17 Pohjois-Pohjanmaa","1",5
"16147",NA,NA,"MK18 Kainuu","0",0
"16148",NA,NA,"MK19 Lappi","1",2
"16149",NA,NA,"MA2 AHVENANMAA","0",0
"16150",NA,NA,"MK21 Ahvenanmaa","0",0
"16151",NA,"Kuljetus ja varastointi","KOKO MAA","23",129
"16152",NA,NA,"MA1 MANNER-SUOMI","23",129
"16153",NA,NA,"MK01 Uusimaa","7",37
"16154",NA,NA,"MK02 Varsinais-Suomi","1",1
"16155",NA,NA,"MK04 Satakunta","1",2
"16156",NA,NA,"MK05 Kanta-Häme","0",0
"16157",NA,NA,"MK06 Pirkanmaa","3",19
"16158",NA,NA,"MK07 Päijät-Häme","0",0
"16159",NA,NA,"MK08 Kymenlaakso","2",11
"16160",NA,NA,"MK09 Etelä-Karjala","2",6
"16161",NA,NA,"MK10 Etelä-Savo","0",0
"16162",NA,NA,"MK11 Pohjois-Savo","1",3
"16163",NA,NA,"MK12 Pohjois-Karjala","0",0
"16164",NA,NA,"MK13 Keski-Suomi","0",0
"16165",NA,NA,"MK14 Etelä-Pohjanmaa","2",7
"16166",NA,NA,"MK15 Pohjanmaa","2",17
"16167",NA,NA,"MK16 Keski-Pohjanmaa","0",0
"16168",NA,NA,"MK17 Pohjois-Pohjanmaa","1",3
"16169",NA,NA,"MK18 Kainuu","0",0
"16170",NA,NA,"MK19 Lappi","1",23
"16171",NA,NA,"MA2 AHVENANMAA","0",0
"16172",NA,NA,"MK21 Ahvenanmaa","0",0
"16173",NA,"Majoitus- ja ravitsemistoiminta","KOKO MAA","18",130
"16174",NA,NA,"MA1 MANNER-SUOMI","18",130
"16175",NA,NA,"MK01 Uusimaa","6",38
"16176",NA,NA,"MK02 Varsinais-Suomi","1",15
"16177",NA,NA,"MK04 Satakunta","2",7
"16178",NA,NA,"MK05 Kanta-Häme","1",6
"16179",NA,NA,"MK06 Pirkanmaa","2",17
"16180",NA,NA,"MK07 Päijät-Häme","1",4
"16181",NA,NA,"MK08 Kymenlaakso","0",0
"16182",NA,NA,"MK09 Etelä-Karjala","0",0
"16183",NA,NA,"MK10 Etelä-Savo","1",4
"16184",NA,NA,"MK11 Pohjois-Savo","1",30
"16185",NA,NA,"MK12 Pohjois-Karjala","1",1
"16186",NA,NA,"MK13 Keski-Suomi","1",4
"16187",NA,NA,"MK14 Etelä-Pohjanmaa","0",0
"16188",NA,NA,"MK15 Pohjanmaa","0",0
"16189",NA,NA,"MK16 Keski-Pohjanmaa","0",0
"16190",NA,NA,"MK17 Pohjois-Pohjanmaa","0",0
"16191",NA,NA,"MK18 Kainuu","0",0
"16192",NA,NA,"MK19 Lappi","1",4
"16193",NA,NA,"MA2 AHVENANMAA","0",0
"16194",NA,NA,"MK21 Ahvenanmaa","0",0
"16195",NA,"Muut palvelut","KOKO MAA","71",319
"16196",NA,NA,"MA1 MANNER-SUOMI","71",319
"16197",NA,NA,"MK01 Uusimaa","36",205
"16198",NA,NA,"MK02 Varsinais-Suomi","4",7
"16199",NA,NA,"MK04 Satakunta","4",12
"16200",NA,NA,"MK05 Kanta-Häme","1",4
"16201",NA,NA,"MK06 Pirkanmaa","3",8
"16202",NA,NA,"MK07 Päijät-Häme","3",24
"16203",NA,NA,"MK08 Kymenlaakso","5",7
"16204",NA,NA,"MK09 Etelä-Karjala","1",1
"16205",NA,NA,"MK10 Etelä-Savo","0",0
"16206",NA,NA,"MK11 Pohjois-Savo","2",4
"16207",NA,NA,"MK12 Pohjois-Karjala","1",5
"16208",NA,NA,"MK13 Keski-Suomi","2",10
"16209",NA,NA,"MK14 Etelä-Pohjanmaa","1",1
"16210",NA,NA,"MK15 Pohjanmaa","3",5
"16211",NA,NA,"MK16 Keski-Pohjanmaa","0",0
"16212",NA,NA,"MK17 Pohjois-Pohjanmaa","4",23
"16213",NA,NA,"MK18 Kainuu","0",0
"16214",NA,NA,"MK19 Lappi","1",3
"16215",NA,NA,"MA2 AHVENANMAA","0",0
"16216",NA,NA,"MK21 Ahvenanmaa","0",0
"16217",NA,"Tuntematon","KOKO MAA","36",36
"16218",NA,NA,"MA1 MANNER-SUOMI","36",36
"16219",NA,NA,"MK01 Uusimaa","15",15
"16220",NA,NA,"MK02 Varsinais-Suomi","4",4
"16221",NA,NA,"MK04 Satakunta","2",2
"16222",NA,NA,"MK05 Kanta-Häme","1",1
"16223",NA,NA,"MK06 Pirkanmaa","2",2
"16224",NA,NA,"MK07 Päijät-Häme","1",1
"16225",NA,NA,"MK08 Kymenlaakso","3",3
"16226",NA,NA,"MK09 Etelä-Karjala","1",1
"16227",NA,NA,"MK10 Etelä-Savo","2",2
"16228",NA,NA,"MK11 Pohjois-Savo","0",0
"16229",NA,NA,"MK12 Pohjois-Karjala","0",0
"16230",NA,NA,"MK13 Keski-Suomi","0",0
"16231",NA,NA,"MK14 Etelä-Pohjanmaa","2",2
"16232",NA,NA,"MK15 Pohjanmaa","1",1
"16233",NA,NA,"MK16 Keski-Pohjanmaa","0",0
"16234",NA,NA,"MK17 Pohjois-Pohjanmaa","1",1
"16235",NA,NA,"MK18 Kainuu","0",0
"16236",NA,NA,"MK19 Lappi","1",1
"16237",NA,NA,"MA2 AHVENANMAA","0",0
"16238",NA,NA,"MK21 Ahvenanmaa","0",0
"16239","2009M11","Yhteensä","KOKO MAA","235",955
"16240",NA,NA,"MA1 MANNER-SUOMI","235",955
"16241",NA,NA,"MK01 Uusimaa","69",274
"16242",NA,NA,"MK02 Varsinais-Suomi","23",88
"16243",NA,NA,"MK04 Satakunta","12",86
"16244",NA,NA,"MK05 Kanta-Häme","13",36
"16245",NA,NA,"MK06 Pirkanmaa","24",93
"16246",NA,NA,"MK07 Päijät-Häme","4",10
"16247",NA,NA,"MK08 Kymenlaakso","5",8
"16248",NA,NA,"MK09 Etelä-Karjala","7",21
"16249",NA,NA,"MK10 Etelä-Savo","6",37
"16250",NA,NA,"MK11 Pohjois-Savo","13",35
"16251",NA,NA,"MK12 Pohjois-Karjala","6",60
"16252",NA,NA,"MK13 Keski-Suomi","6",12
"16253",NA,NA,"MK14 Etelä-Pohjanmaa","11",34
"16254",NA,NA,"MK15 Pohjanmaa","2",2
"16255",NA,NA,"MK16 Keski-Pohjanmaa","6",18
"16256",NA,NA,"MK17 Pohjois-Pohjanmaa","18",105
"16257",NA,NA,"MK18 Kainuu","5",21
"16258",NA,NA,"MK19 Lappi","5",15
"16259",NA,NA,"MA2 AHVENANMAA","0",0
"16260",NA,NA,"MK21 Ahvenanmaa","0",0
"16261",NA,"Maa-, metsä ja kalatalous","KOKO MAA","1",1
"16262",NA,NA,"MA1 MANNER-SUOMI","1",1
"16263",NA,NA,"MK01 Uusimaa","0",0
"16264",NA,NA,"MK02 Varsinais-Suomi","0",0
"16265",NA,NA,"MK04 Satakunta","0",0
"16266",NA,NA,"MK05 Kanta-Häme","0",0
"16267",NA,NA,"MK06 Pirkanmaa","0",0
"16268",NA,NA,"MK07 Päijät-Häme","0",0
"16269",NA,NA,"MK08 Kymenlaakso","0",0
"16270",NA,NA,"MK09 Etelä-Karjala","0",0
"16271",NA,NA,"MK10 Etelä-Savo","0",0
"16272",NA,NA,"MK11 Pohjois-Savo","0",0
"16273",NA,NA,"MK12 Pohjois-Karjala","0",0
"16274",NA,NA,"MK13 Keski-Suomi","0",0
"16275",NA,NA,"MK14 Etelä-Pohjanmaa","1",1
"16276",NA,NA,"MK15 Pohjanmaa","0",0
"16277",NA,NA,"MK16 Keski-Pohjanmaa","0",0
"16278",NA,NA,"MK17 Pohjois-Pohjanmaa","0",0
"16279",NA,NA,"MK18 Kainuu","0",0
"16280",NA,NA,"MK19 Lappi","0",0
"16281",NA,NA,"MA2 AHVENANMAA","0",0
"16282",NA,NA,"MK21 Ahvenanmaa","0",0
"16283",NA,"Teollisuus, kaivostoiminta sekä energia- ja vesihuolto","KOKO MAA","27",276
"16284",NA,NA,"MA1 MANNER-SUOMI","27",276
"16285",NA,NA,"MK01 Uusimaa","5",34
"16286",NA,NA,"MK02 Varsinais-Suomi","2",48
"16287",NA,NA,"MK04 Satakunta","3",23
"16288",NA,NA,"MK05 Kanta-Häme","2",11
"16289",NA,NA,"MK06 Pirkanmaa","5",45
"16290",NA,NA,"MK07 Päijät-Häme","0",0
"16291",NA,NA,"MK08 Kymenlaakso","0",0
"16292",NA,NA,"MK09 Etelä-Karjala","1",1
"16293",NA,NA,"MK10 Etelä-Savo","0",0
"16294",NA,NA,"MK11 Pohjois-Savo","0",0
"16295",NA,NA,"MK12 Pohjois-Karjala","1",51
"16296",NA,NA,"MK13 Keski-Suomi","0",0
"16297",NA,NA,"MK14 Etelä-Pohjanmaa","3",19
"16298",NA,NA,"MK15 Pohjanmaa","0",0
"16299",NA,NA,"MK16 Keski-Pohjanmaa","0",0
"16300",NA,NA,"MK17 Pohjois-Pohjanmaa","2",38
"16301",NA,NA,"MK18 Kainuu","2",3
"16302",NA,NA,"MK19 Lappi","1",3
"16303",NA,NA,"MA2 AHVENANMAA","0",0
"16304",NA,NA,"MK21 Ahvenanmaa","0",0
"16305",NA,"Rakennustoiminta","KOKO MAA","50",166
"16306",NA,NA,"MA1 MANNER-SUOMI","50",166
"16307",NA,NA,"MK01 Uusimaa","13",25
"16308",NA,NA,"MK02 Varsinais-Suomi","3",4
"16309",NA,NA,"MK04 Satakunta","2",36
"16310",NA,NA,"MK05 Kanta-Häme","3",5
