"","date","TOL","maakunta","yrityksiä","työntekijöitä"
"28665",NA,NA,"MK18 Kainuu","0",0
"28666",NA,NA,"MK19 Lappi","1",11
"28667",NA,NA,"MA2 AHVENANMAA","0",0
"28668",NA,NA,"MK21 Ahvenanmaa","0",0
"28669",NA,"Muut palvelut","KOKO MAA","60",270
"28670",NA,NA,"MA1 MANNER-SUOMI","59",269
"28671",NA,NA,"MK01 Uusimaa","35",215
"28672",NA,NA,"MK02 Varsinais-Suomi","3",9
"28673",NA,NA,"MK04 Satakunta","0",0
"28674",NA,NA,"MK05 Kanta-Häme","4",5
"28675",NA,NA,"MK06 Pirkanmaa","2",9
"28676",NA,NA,"MK07 Päijät-Häme","3",3
"28677",NA,NA,"MK08 Kymenlaakso","0",0
"28678",NA,NA,"MK09 Etelä-Karjala","1",3
"28679",NA,NA,"MK10 Etelä-Savo","0",0
"28680",NA,NA,"MK11 Pohjois-Savo","0",0
"28681",NA,NA,"MK12 Pohjois-Karjala","0",0
"28682",NA,NA,"MK13 Keski-Suomi","4",12
"28683",NA,NA,"MK14 Etelä-Pohjanmaa","3",6
"28684",NA,NA,"MK15 Pohjanmaa","1",1
"28685",NA,NA,"MK16 Keski-Pohjanmaa","0",0
"28686",NA,NA,"MK17 Pohjois-Pohjanmaa","3",6
"28687",NA,NA,"MK18 Kainuu","0",0
"28688",NA,NA,"MK19 Lappi","0",0
"28689",NA,NA,"MA2 AHVENANMAA","1",1
"28690",NA,NA,"MK21 Ahvenanmaa","1",1
"28691",NA,"Tuntematon","KOKO MAA","2",2
"28692",NA,NA,"MA1 MANNER-SUOMI","2",2
"28693",NA,NA,"MK01 Uusimaa","1",1
"28694",NA,NA,"MK02 Varsinais-Suomi","0",0
"28695",NA,NA,"MK04 Satakunta","0",0
"28696",NA,NA,"MK05 Kanta-Häme","0",0
"28697",NA,NA,"MK06 Pirkanmaa","1",1
"28698",NA,NA,"MK07 Päijät-Häme","0",0
"28699",NA,NA,"MK08 Kymenlaakso","0",0
"28700",NA,NA,"MK09 Etelä-Karjala","0",0
"28701",NA,NA,"MK10 Etelä-Savo","0",0
"28702",NA,NA,"MK11 Pohjois-Savo","0",0
"28703",NA,NA,"MK12 Pohjois-Karjala","0",0
"28704",NA,NA,"MK13 Keski-Suomi","0",0
"28705",NA,NA,"MK14 Etelä-Pohjanmaa","0",0
"28706",NA,NA,"MK15 Pohjanmaa","0",0
"28707",NA,NA,"MK16 Keski-Pohjanmaa","0",0
"28708",NA,NA,"MK17 Pohjois-Pohjanmaa","0",0
"28709",NA,NA,"MK18 Kainuu","0",0
"28710",NA,NA,"MK19 Lappi","0",0
"28711",NA,NA,"MA2 AHVENANMAA","0",0
"28712",NA,NA,"MK21 Ahvenanmaa","0",0
"28713","2015M02","Yhteensä","KOKO MAA","208",1002
"28714",NA,NA,"MA1 MANNER-SUOMI","207",1001
"28715",NA,NA,"MK01 Uusimaa","65",282
"28716",NA,NA,"MK02 Varsinais-Suomi","17",120
"28717",NA,NA,"MK04 Satakunta","7",26
"28718",NA,NA,"MK05 Kanta-Häme","11",20
"28719",NA,NA,"MK06 Pirkanmaa","18",123
"28720",NA,NA,"MK07 Päijät-Häme","6",18
"28721",NA,NA,"MK08 Kymenlaakso","5",32
"28722",NA,NA,"MK09 Etelä-Karjala","4",10
"28723",NA,NA,"MK10 Etelä-Savo","3",3
"28724",NA,NA,"MK11 Pohjois-Savo","8",37
"28725",NA,NA,"MK12 Pohjois-Karjala","5",11
"28726",NA,NA,"MK13 Keski-Suomi","12",118
"28727",NA,NA,"MK14 Etelä-Pohjanmaa","8",20
"28728",NA,NA,"MK15 Pohjanmaa","10",49
"28729",NA,NA,"MK16 Keski-Pohjanmaa","1",1
"28730",NA,NA,"MK17 Pohjois-Pohjanmaa","17",60
"28731",NA,NA,"MK18 Kainuu","2",4
"28732",NA,NA,"MK19 Lappi","8",67
"28733",NA,NA,"MA2 AHVENANMAA","1",1
"28734",NA,NA,"MK21 Ahvenanmaa","1",1
"28735",NA,"Maa-, metsä ja kalatalous","KOKO MAA","8",9
"28736",NA,NA,"MA1 MANNER-SUOMI","8",9
"28737",NA,NA,"MK01 Uusimaa","0",0
"28738",NA,NA,"MK02 Varsinais-Suomi","1",1
"28739",NA,NA,"MK04 Satakunta","1",1
"28740",NA,NA,"MK05 Kanta-Häme","2",2
"28741",NA,NA,"MK06 Pirkanmaa","1",1
"28742",NA,NA,"MK07 Päijät-Häme","0",0
"28743",NA,NA,"MK08 Kymenlaakso","0",0
"28744",NA,NA,"MK09 Etelä-Karjala","1",1
"28745",NA,NA,"MK10 Etelä-Savo","0",0
"28746",NA,NA,"MK11 Pohjois-Savo","0",0
